Index,Article,Swedish Word,English Meaning,Part of Speech,Swedish Sentence,
341,,tillbaka,back,particle,Kom snart tillbaka.,Come back soon.
341s,,tillbaks,back [vardagligt],particle,Kom snart tillbaks.,Come back soon.
342,en,film,"film, movie",noun,Vi såg en bra film.,We saw a good movie.
343,,ibland,sometimes (also: i bland),adverb,Ibland regnar det.,Sometimes it rains.
344,,medan,while,subjunction,Jag lagar mat medan du städar.,I cook while you clean.
344s,,medans,while [vardagligt],subjunction,Jag lagar mat medans du städar.,I cook while you clean.
345,ett,slut,end,noun,Filmen var bra i slutet.,The movie was good at the end.
346,en,massa,"mass, a lot",noun,Det var en massa folk där.,There were a lot of people there.
347,en,tanke,thought,noun,Det var en bra tanke.,It was a good thought.
348,en,akt,act (of a play); document,noun,Pjäsen har tre akter.,The play has three acts.
349,en,procent,percent,noun,Priset steg tio procent.,The price rose ten percent.
350,en,månad,month,noun,Jag reser nästa månad.,I am traveling next month.
351,,sista,"last, final",adjective,Det här är sista chansen.,This is the last chance.
352,en,ätt,"lineage, dynasty",noun,Han kommer från en gammal ätt.,He comes from an old lineage.
353,att,sluta,"to stop, finish, quit",verb,Sluta prata!,Stop talking!
354,en,verksamhet,"activity, operations, business",noun,Företagets verksamhet växer.,The company's operations are growing.
355,en,rätt,right; (food) dish,noun,Det är min fulla rätt.,It is fully my right.
356,,samtidigt,"at the same time, simultaneously",adverb,Vi kom fram samtidigt.,We arrived at the same time.
356s,,samtidit,"at the same time, simultaneously [g silent]",adverb,Vi kom fram samtidit.,We arrived at the same time.
357,,emot,against,preposition,Jag är emot förslaget.,I am against the proposal.
358,ett,stöd,support,noun,Tack för ditt stöd.,Thank you for your support.
359,en,familj,family,noun,Min familj är stor.,My family is big.
360,,vem,who,pronoun,Vem är du?,Who are you?
361,att,åka,"to go, travel (by vehicle)",verb,Vi ska åka till Spanien.,We are going to travel to Spain.
362,att,betala,to pay,verb,Kan jag betala med kort?,Can I pay by card?
363,en,kommun,municipality,noun,Kommunen bygger en ny skola.,The municipality is building a new school.
364,ett,resultat,result,noun,Vad blev resultatet?,What was the result?
365,att,utveckla,to develop,verb,Vi vill utveckla produkten.,We want to develop the product.
366,att,föra,"to carry, lead, conduct",verb,Han för en dagbok.,He keeps a diary.
367,att,hjälpa,to help,verb,Kan du hjälpa mig?,Can you help me?
368,,nästa,next,adjective,Vi ses nästa vecka.,See you next week.
369,,nära,"near, close",adverb,Affären ligger nära.,The shop is nearby.
370,,nej,no,interjection,"Nej, tack.","No, thank you."
371,en,text,text,noun,Läs texten noga.,Read the text carefully.
372,ett,exempel,example,noun,Ge mig ett exempel.,Give me an example.
373,,särskilt,"especially, particularly",adverb,Det är särskilt viktigt.,It is especially important.
374,en,debatt,debate,noun,Det blev en het debatt.,It became a heated debate.
375,,när det gäller,"regarding, when it comes to",preposition,När det gäller pengar är han försiktig.,"When it comes to money, he is careful."
376,,på grund av,because of (abbr. p.g.a.),adverb,Tåget är sent på grund av snön.,The train is late because of the snow.
377,en,situation,situation,noun,Det är en svår situation.,It is a difficult situation.
378,,europeisk,European,adjective,Det är en europeisk tradition.,It is a European tradition.
379,en,form,"form, shape",noun,Kakan har en rund form.,The cake has a round shape.
380,en,orm,snake,noun,Det finns en orm i trädgården.,There is a snake in the garden.
381,ett,råd,advice; council,noun,Kan du ge mig ett råd?,Can you give me a piece of advice?
382,,november,November,noun,Det blir mörkt i november.,It gets dark in November.
383,en,makt,power,noun,Regeringen har makten.,The government holds the power.
384,,social,social,adjective,Hon är en social person.,She is a social person.
385,att,vinna,to win,verb,Vi vill vinna matchen.,We want to win the game.
386,,kvar,"left, remaining",particle,Det finns lite mat kvar.,There is a little food left.
387,ett,system,system,noun,Det är ett nytt system.,It is a new system.
388,att,vänta,to wait,verb,Vänta på mig!,Wait for me!
389,,tidig,early,adjective,Det var en tidig morgon.,It was an early morning.
389s,,tidi,early [g silent],adjective,Det var en tidi morgon.,It was an early morning.
390,en,åtgärd,"measure, action",noun,Regeringen vidtar åtgärder.,The government is taking measures.
391,ett,krav,"demand, requirement",noun,Det är ett rimligt krav.,It is a reasonable demand.
392,en,skillnad,difference,noun,Det är en stor skillnad.,It is a big difference.
393,en,riksdag,parliament (the Riksdag),noun,Riksdagen röstar imorgon.,The parliament votes tomorrow.
394,,internationell,international,adjective,Det är ett internationellt företag.,It is an international company.
395,,nationell,national,adjective,Det är en nationell helgdag.,It is a national holiday.
396,att,jobba,to work,verb,Jag jobbar på ett kontor.,I work in an office.
397,att,klara,"to manage, cope, pass",verb,Jag klarade provet.,I passed the test.
398,en,typ,"type, kind",noun,Vilken typ av musik gillar du?,What type of music do you like?
399,,kring,"around, about",preposition,Det finns frågor kring projektet.,There are questions around the project.
400,,båda,both,pronoun,Båda böckerna är bra.,Both books are good.
400s,,bägge,both [vardagligt],pronoun,Bägge böckerna är bra.,Both books are good.
401,,cirka,approximately (abbr. ca),adverb,Det tar cirka en timme.,It takes approximately one hour.
402,en,tur,luck; turn,noun,Vilken tur att du kom!,What luck that you came!
403,en,polis,police; police officer,noun,Polisen kom snabbt.,The police came quickly.
404,ett,medium,medium,noun,Tidningen är ett gammalt medium.,The newspaper is an old medium.
405,,låg,low,adjective,Priset är väldigt lågt.,The price is very low.
406,,varandra,each other,pronoun,De hjälper varandra.,They help each other.
406s,,varann,each other [vardagligt],pronoun,Dom hjälper varann.,They help each other.
407,en,mun,mouth,noun,Öppna munnen.,Open your mouth.
408,ett,ansvar,responsibility,noun,Det är ditt ansvar.,It is your responsibility.
409,en,roll,role,noun,Hon spelar huvudrollen.,She plays the main role.
410,en,regel,rule,noun,Det är en viktig regel.,It is an important rule.
411,,oktober,October,noun,Löven faller i oktober.,The leaves fall in October.
412,att,prata,"to talk, chat",verb,Vi pratar varje dag.,We talk every day.
413,en,organisation,organization,noun,Det är en stor organisation.,It is a large organization.
414,en,medlem,member,noun,Jag är medlem i klubben.,I am a member of the club.
415,att,fråga,to ask,verb,Får jag fråga en sak?,May I ask something?
416,att,anmäla,"to report, register, sign up",verb,Jag vill anmäla mig till kursen.,I want to sign up for the course.
417,att,nå,to reach,verb,Jag kan inte nå hyllan.,I can't reach the shelf.
418,att,bo,"to live, reside",verb,Var bor du?,Where do you live?
419,en,krona,krona (currency); crown,noun,Det kostar tio kronor.,It costs ten kronor.
420,att,stämma,to be correct; to tune,verb,Det stämmer.,That is correct.
421,en,rättighet,right (entitlement),noun,Utbildning är en rättighet.,Education is a right.
422,,sedan,since,preposition,Jag har bott här sedan 2010.,I have lived here since 2010.
422s,,sen,since [vardagligt],preposition,Jag har bott här sen 2010.,I have lived here since 2010.
423,,bakom,behind,preposition,Katten gömmer sig bakom soffan.,The cat is hiding behind the sofa.
424,,efter att,after,subjunction,Vi åt efter att vi kom hem.,We ate after we came home.
425,,därmed,"thereby, thus",adverb,"Han slutade, och därmed var allt över.","He quit, and thus it was all over."
426,,med,"along, too",adverb,Får jag följa med?,May I come along?
426s,,me,"along, too [d silent]",adverb,Får jag följa me?,May I come along?
427,ett,hus,house,noun,De bygger ett nytt hus.,They are building a new house.
428,en,vän,friend,noun,Han är min bästa vän.,He is my best friend.
429,att,dela,"to share, divide",verb,Vi delar en pizza.,We are sharing a pizza.
430,,februari,February,noun,Februari är en kort månad.,February is a short month.
431,,kort,short; card,adjective,Det var ett kort möte.,It was a short meeting.
432,en,grund,"basis, foundation; ground",noun,Det finns ingen grund för oro.,There is no basis for worry.
433,,runt,around,preposition,Vi gick runt sjön.,We walked around the lake.
434,en,framtid,future,noun,Vi planerar för framtiden.,We are planning for the future.
435,att,köra,to drive,verb,Kan du köra bil?,Can you drive a car?
436,en,etikett,label; etiquette,noun,Sätt en etikett på flaskan.,Put a label on the bottle.
437,,fri,free,adjective,Är platsen fri?,Is the seat free?
438,ett,behov,need,noun,Det finns ett stort behov av hjälp.,There is a great need for help.
439,en,timme,hour (also: timma),noun,Vi väntade en timme.,We waited an hour.
440,,september,September,noun,Skolan börjar i september.,School starts in September.
441,att,hoppas,to hope,verb,Jag hoppas att du mår bra.,I hope you are well.
442,,ensam,"alone, lonely",adjective,Hon bor ensam.,She lives alone.
443,,snart,soon,adverb,Vi är snart framme.,We will be there soon.
444,,rätt,"quite, rather; correctly",adverb,Det var rätt svårt.,It was rather difficult.
445,att,förklara,to explain,verb,Kan du förklara det här?,Can you explain this?
446,en,ledning,"leadership, management; lead",noun,Företagets ledning är ny.,The company's management is new.
447,ett,intresse,interest,noun,Hon visar stort intresse.,She shows great interest.
448,att,tvinga,to force,verb,Du kan inte tvinga mig.,You can't force me.
449,att,påverka,"to affect, influence",verb,Vädret påverkar humöret.,The weather affects the mood.
450,en,anledning,reason,noun,Det finns ingen anledning att oroa sig.,There is no reason to worry.
451,att,titta,"to look, watch",verb,Titta på den här bilden.,Look at this picture.
452,att,minska,"to decrease, reduce",verb,Vi måste minska kostnaderna.,We have to reduce the costs.
453,,i alla fall,"in any case, anyway (abbr. iaf)",adverb,Jag kommer i alla fall.,I'll come in any case.
454,,däremot,"on the other hand, however",adverb,Han gillar te. Jag däremot dricker kaffe.,"He likes tea. I, on the other hand, drink coffee."
455,,direkt,"direct, directly",adverb,Gå direkt hem.,Go straight home.
456,en,ekonomi,economy; finances,noun,Landets ekonomi är stark.,The country's economy is strong.
457,att,bestämma,to decide,verb,Du måste bestämma dig.,You have to make up your mind.
458,att,skicka,to send,verb,Kan du skicka mig ett mejl?,Can you send me an email?
459,,trots,despite,preposition,Vi gick ut trots regnet.,We went out despite the rain.
460,en,åsikt,opinion,noun,Alla har rätt till sin åsikt.,Everyone has the right to their opinion.
461,en,diskussion,discussion,noun,Det blev en lång diskussion.,It became a long discussion.
462,en,rad,"row, line",noun,Skriv på första raden.,Write on the first line.
463,ett,faktum,fact,noun,Det är ett faktum.,It is a fact.
464,en,tidning,newspaper,noun,Jag läser tidningen på morgonen.,I read the newspaper in the morning.
465,en,mening,meaning; sentence; opinion,noun,Vad är meningen med det här?,What is the meaning of this?
466,,utanför,outside,preposition,Bilen står utanför huset.,The car is parked outside the house.
467,,rätt,"right, correct",adjective,Du gav rätt svar.,You gave the right answer.
468,,gemensam,"common, shared, joint",adjective,Vi har ett gemensamt mål.,We have a common goal.
469,,klar,"clear; ready, done",adjective,Är du klar?,Are you ready?
470,,juni,June,noun,Skolan slutar i juni.,School ends in June.
471,en,is,ice,noun,Det är is på sjön.,There is ice on the lake.
472,en,bil,car,noun,Jag köpte en ny bil.,I bought a new car.
473,en,myndighet,"authority, agency",noun,Myndigheten fattade ett beslut.,The authority made a decision.
474,ett,nummer,number (abbr. nr),noun,Vad är ditt nummer?,What is your number?
475,,allmän,"general, public",adjective,Det är allmän kunskap.,It is common knowledge.
476,en,musik,music,noun,Jag lyssnar på musik.,I listen to music.
477,att,ändra,"to change, alter",verb,Jag vill ändra min bokning.,I want to change my booking.
478,att,träffa,to meet,verb,Vi träffas imorgon.,We are meeting tomorrow.
479,,ihop,together,particle,Vi sätter ihop bordet.,We put the table together.
480,att,diskutera,to discuss,verb,Vi måste diskutera saken.,We have to discuss the matter.
481,att,driva,"to drive, run, operate",verb,Hon driver ett företag.,She runs a company.
482,att,sälja,to sell,verb,De säljer grönsaker på torget.,They sell vegetables at the market.
483,att,sakna,"to miss, lack",verb,Jag saknar dig.,I miss you.
484,ett,program,program,noun,Vad är på programmet?,What is on the program?
485,,ifrån,from,preposition,Var kommer du ifrån?,Where are you from?
486,att,länka,to link,verb,Han länkade till artikeln.,He linked to the article.
487,en,kunskap,knowledge,noun,Hon har djup kunskap om ämnet.,She has deep knowledge of the subject.
488,,snabbt,"quickly, fast",adverb,Han springer snabbt.,He runs fast.
489,,maj,May,noun,Våren kommer i maj.,Spring comes in May.
490,,amerikansk,American,adjective,Det är en amerikansk film.,It is an American movie.
491,att,tyda,to interpret; to indicate,verb,Allt tyder på regn.,Everything indicates rain.
492,,särskild,"special, particular",adjective,Det krävs särskild kunskap.,Special knowledge is required.
493,en,början,"beginning, start",noun,I början var det svårt.,In the beginning it was difficult.
494,,naturligtvis,"of course, naturally",adverb,Naturligtvis hjälper jag dig.,Of course I'll help you.
495,ett,skäl,reason,noun,Det finns goda skäl.,There are good reasons.
496,,fin,"fine, nice",adjective,Det är en fin dag.,It is a nice day.
497,att,genomföra,"to carry out, implement",verb,Vi ska genomföra planen.,We will carry out the plan.
498,,liksom,"like, sort of",adverb,Det var liksom konstigt.,"It was, like, strange."
499,,via,"via, through",preposition,Vi reste via Köpenhamn.,We traveled via Copenhagen.
500,,före,before,preposition,Kom före klockan tre.,Come before three o'clock.
501,en,dom,"verdict, sentence (court)",noun,Domstolen meddelade domen.,The court announced the verdict.
502,en,risk,risk,noun,Det är en stor risk.,It is a big risk.
503,,enkel,"simple, easy",adjective,Det är en enkel fråga.,It is a simple question.
504,,alls,at all,adverb,Jag är inte trött alls.,I am not tired at all.
505,ett,pris,price; prize,noun,Vad är priset?,What is the price?
506,att,räkna,"to count, calculate",verb,Barnen lär sig räkna.,The children are learning to count.
507,att,beskriva,to describe,verb,Kan du beskriva honom?,Can you describe him?
508,,hem,home,particle,Jag går hem nu.,I am going home now.
509,att,möta,"to meet, face",verb,Vi möter ett starkt lag.,We are facing a strong team.
510,,såsom,"such as, as",subjunction,Frukter såsom äpplen och päron.,Fruits such as apples and pears.
511,en,idé,idea,noun,Det är en bra idé.,It is a good idea.
512,ett,gram,gram,noun,Lägg till hundra gram socker.,Add a hundred grams of sugar.
513,,förra,"previous, last",adjective,Förra veckan var jag sjuk.,Last week I was sick.
514,en,tjänst,"service; position, job",noun,Banken erbjuder en ny tjänst.,The bank offers a new service.
515,att,heta,to be called (named),verb,Vad heter du?,What is your name?
516,en,kultur,culture,noun,Sverige har en rik kultur.,Sweden has a rich culture.
517,att,äta,to eat,verb,Vad vill du äta?,What do you want to eat?
518,ett,syfte,"purpose, aim",noun,Vad är syftet med mötet?,What is the purpose of the meeting?
519,en,princip,principle,noun,Det är en viktig princip.,It is an important principle.
520,att,flytta,to move,verb,Vi ska flytta till en ny lägenhet.,We are moving to a new apartment.
521,,ute,"out, outside",adverb,Barnen leker ute.,The children are playing outside.
522,att,utgöra,"to constitute, make up",verb,Kvinnor utgör hälften av gruppen.,Women make up half of the group.
523,en,politiker,politician,noun,Hon är en känd politiker.,She is a well-known politician.
524,,lätt,easy; light,adjective,Det var ett lätt prov.,It was an easy test.
525,en,förälder,parent,noun,Varje förälder vill det bästa.,Every parent wants the best.
526,en,marknad,market,noun,Vi går till marknaden.,We are going to the market.
527,,nämligen,"namely, you see",adverb,Jag kan inte komma; jag är nämligen sjuk.,"I can't come; you see, I'm sick."
528,,tydlig,"clear, distinct",adjective,Ge en tydlig förklaring.,Give a clear explanation.
528s,,tydli,"clear, distinct [g silent]",adjective,Ge en tydli förklaring.,Give a clear explanation.
529,en,utbildning,"education, training",noun,Hon har en bra utbildning.,She has a good education.
530,att,röra,to touch; to stir; to move,verb,Rör inte tavlan.,Don't touch the painting.
531,en,nivå,level,noun,Vattnet är på en hög nivå.,The water is at a high level.
532,,april,April,noun,Det regnar ofta i april.,It often rains in April.
533,en,mängd,"quantity, amount; crowd",noun,Det krävs en stor mängd vatten.,A large amount of water is needed.
534,en,betydelse,meaning; importance,noun,Ordet har flera betydelser.,The word has several meanings.
535,,kristen,Christian,adjective,Det är en kristen tradition.,It is a Christian tradition.
536,att,dö,to die,verb,Blommorna dör utan vatten.,The flowers die without water.
537,,mars,March,noun,Våren börjar i mars.,Spring begins in March.
538,,allt,everything; increasingly,adverb,Det blir allt kallare.,It is getting increasingly colder.
539,en,kväll,evening,noun,Vi ses i kväll.,See you this evening.
540,en,bildning,"education, learning (cultivation)",noun,Bildning är viktigt.,Education is important.
541,en,länk,link,noun,Klicka på länken.,Click on the link.
542,att,växa,to grow,verb,Barnen växer snabbt.,The children grow quickly.
543,,per,per,preposition,Det kostar tio kronor per styck.,It costs ten kronor per piece.
544,,offentlig,public,adjective,Det är en offentlig plats.,It is a public place.
544s,,offentli,public [g silent],adjective,Det är en offentli plats.,It is a public place.
545,,såväl,as well (as),conjunction,Såväl barn som vuxna är välkomna.,Children as well as adults are welcome.
546,att,våga,to dare,verb,Jag vågar inte hoppa.,I don't dare to jump.
547,ett,vatten,water,noun,Kan jag få ett glas vatten?,Can I have a glass of water?
548,ett,håll,direction; ache,noun,Åt vilket håll ska vi gå?,Which direction should we go?
549,,mänsklig,human,adjective,Det är en mänsklig rättighet.,It is a human right.
549s,,mänskli,human [g silent],adjective,Det är en mänskli rättighet.,It is a human right.
550,en,demokrati,democracy,noun,Vi lever i en demokrati.,We live in a democracy.
551,att,fatta,"to grasp, understand; to make (a decision)",verb,Jag fattar inte.,I don't get it.
552,en,jord,"earth, soil; the Earth",noun,Plantera fröet i jorden.,Plant the seed in the soil.
553,en,känsla,"feeling, emotion",noun,Jag har en bra känsla.,I have a good feeling.
554,en,förändring,change,noun,Det är en stor förändring.,It is a big change.
555,att,nämna,to mention,verb,Han nämnde ditt namn.,He mentioned your name.
556,,tyvärr,unfortunately,adverb,Tyvärr kan jag inte komma.,Unfortunately I can't come.
557,,enskild,"individual, single",adjective,Varje enskild person räknas.,Every single person counts.
558,,rätt,"right, straight",particle,Gå rätt fram.,Go straight ahead.
559,att,be,"to ask, pray (also: bedja)",verb,Får jag be om hjälp?,May I ask for help?
560,en,punkt,point; period (dot),noun,Sätt en punkt i slutet.,Put a period at the end.
561,en,ändring,"change, alteration",noun,Jag gjorde en liten ändring.,I made a small change.
562,en,mission,mission,noun,Deras mission är att hjälpa.,Their mission is to help.
563,,igår,yesterday (also: i går),adverb,Vi träffades igår.,We met yesterday.
564,en,kommission,commission,noun,Kommissionen lade fram ett förslag.,The commission put forward a proposal.
565,en,ort,"place, town, locality",noun,Han bor på en liten ort.,He lives in a small town.
566,att,anta,"to assume; to accept, adopt",verb,Jag antar att du har rätt.,I assume you are right.
567,,trots att,"even though, although",subjunction,Vi gick ut trots att det regnade.,We went out even though it was raining.
568,ett,spel,game; play,noun,Det är ett spännande spel.,It is an exciting game.
569,ett,språk,language,noun,Hon talar tre språk.,She speaks three languages.
570,att,föreslå,"to suggest, propose",verb,Jag föreslår en paus.,I suggest a break.
571,,igenom,through,preposition,Vi gick igenom hela boken.,We went through the whole book.
572,att,undra,to wonder,verb,Jag undrar vad som hände.,I wonder what happened.
573,,eget,own (neuter),adjective,Hon har ett eget rum.,She has her own room.
574,ett,möte,meeting,noun,Vi har ett möte klockan tre.,We have a meeting at three.
575,en,mat,food,noun,Maten är klar.,The food is ready.
576,en,gräns,"border, limit",noun,Vi körde över gränsen.,We drove across the border.
577,att,lyssna,to listen,verb,Lyssna på mig.,Listen to me.
578,att,delta,"to participate, take part",verb,Vill du delta i tävlingen?,Do you want to take part in the competition?
579,ett,samarbete,"cooperation, collaboration",noun,Tack för ett bra samarbete.,Thank you for a good collaboration.
580,,annars,otherwise,adverb,"Skynda dig, annars missar vi bussen.","Hurry up, otherwise we'll miss the bus."
581,att,falla,to fall,verb,Löven faller på hösten.,The leaves fall in autumn.
582,,nära,"near, close",adjective,Han är en nära vän.,He is a close friend.
583,ett,rum,room,noun,Hotellet har stora rum.,The hotel has large rooms.
584,,ungefär,"approximately, about",adverb,Det tar ungefär en timme.,It takes about an hour.
585,att,starta,to start,verb,Vi startar klockan nio.,We start at nine.
586,att,inse,to realize,verb,Jag insåg mitt misstag.,I realized my mistake.
587,,internet,the internet,noun,Jag hittade det på internet.,I found it on the internet.
588,ett,hov,court (royal); hoof,noun,Drottningen bor vid hovet.,The queen lives at the court.
589,,öppen,open,adjective,Affären är öppen idag.,The shop is open today.
590,att,bidra,to contribute,verb,Alla kan bidra med något.,Everyone can contribute something.
591,en,död,death,noun,Hans död var en chock.,His death was a shock.
592,att,luta,to lean,verb,Luta dig inte mot dörren.,Don't lean against the door.
593,ett,öga,eye,noun,Jag fick något i ögat.,I got something in my eye.
594,,säkert,"surely, certainly",adverb,Det blir säkert bra.,It will surely be fine.
595,ett,ämne,"subject, topic; substance",noun,Vilket ämne gillar du i skolan?,Which subject do you like in school?
596,,få,few,adjective,Få personer kom.,Few people came.
597,,augusti,August,noun,Vi reser i augusti.,We are traveling in August.
598,en,socialdemokrat,Social Democrat,noun,Han är socialdemokrat.,He is a Social Democrat.
598s,en,sosse,Social Democrat [vardagligt],noun,Han är sosse.,He is a Social Democrat.
599,ett,projekt,project,noun,Vi arbetar på ett nytt projekt.,We are working on a new project.
600,,övrig,"other, remaining",adjective,Övrig information finns på sidan.,Other information is on the page.
600s,,övri,"other, remaining [g silent]",adjective,Övri information finns på sidan.,Other information is on the page.
601,,dels,partly,conjunction,"Dels är det dyrt, dels är det fult.","Partly it's expensive, partly it's ugly."
602,,framför allt,"above all, especially (also: framförallt)",adverb,"Jag gillar frukt, framför allt bananer.","I like fruit, above all bananas."
603,,positiv,positive,adjective,Hon har en positiv inställning.,She has a positive attitude.
604,,rolig,"fun, funny",adjective,Det var en rolig film.,It was a funny movie.
604s,,roli,"fun, funny [g silent]",adjective,Det var en roli film.,It was a funny movie.
605,en,port,"gate; doorway, entrance",noun,Stadens gamla port är vacker.,The city's old gate is beautiful.
606,att,bero,to depend,verb,Det beror på vädret.,It depends on the weather.
607,en,kropp,body,noun,Träning är bra för kroppen.,Exercise is good for the body.
608,att,minnas,to remember,verb,Jag minns inte hans namn.,I don't remember his name.
609,en,handling,action; plot; document,noun,Det är dags för handling.,It is time for action.
610,att,rösta,to vote,verb,Jag ska rösta i valet.,I am going to vote in the election.
611,,riktig,"real, proper, correct",adjective,Det är en riktig vän.,He is a real friend.
611s,,rikti,"real, proper, correct [g silent]",adjective,Det är en rikti vän.,He is a real friend.
612,en,rapport,report,noun,Hon skrev en lång rapport.,She wrote a long report.
613,en,lösning,solution,noun,Vi hittade en lösning.,We found a solution.
614,,personlig,personal,adjective,Det är en personlig fråga.,It is a personal question.
614s,,personli,personal [g silent],adjective,Det är en personli fråga.,It is a personal question.
615,att,kommentera,to comment,verb,Vill du kommentera inlägget?,Do you want to comment on the post?
616,,som att,as if,subjunction,Det känns som att det blir regn.,It feels as if it will rain.
617,att,gilla,to like,verb,Jag gillar din nya frisyr.,I like your new haircut.
618,att,bryta,to break,verb,Han bröt benet.,He broke his leg.
619,en,hjälp,help,noun,Tack för hjälpen.,Thank you for the help.
620,,juli,July,noun,Vi har semester i juli.,We have vacation in July.
621,att,innehålla,to contain,verb,Boken innehåller många bilder.,The book contains many pictures.
622,,liknande,similar,adjective,Jag har en liknande tröja.,I have a similar sweater.
623,ett,tillfälle,"occasion, opportunity",noun,Det är ett bra tillfälle.,It is a good opportunity.
624,,inte ens,not even,adverb,Han sa inte ens hej.,He didn't even say hi.
625,,känd,"known, famous",adjective,Hon är en känd skådespelare.,She is a famous actress.
626,en,forskning,research,noun,Forskningen tar tid.,Research takes time.
627,en,kraft,"force, power, strength",noun,Vinden har stor kraft.,The wind has great force.
628,,helt enkelt,"simply, quite simply",adverb,Det är helt enkelt för dyrt.,It is simply too expensive.
629,ett,brott,crime; fracture,noun,Polisen utreder ett brott.,The police are investigating a crime.
630,,exempelvis,for example,adverb,"Vi kan, exempelvis, ta tåget.","We can, for example, take the train."
631,en,röst,voice; vote,noun,Hon har en vacker röst.,She has a beautiful voice.
632,att,bjuda,"to invite; to offer, treat",verb,Jag bjuder på kaffe.,I'll treat you to coffee.
633,,till och med,even (abbr. t.o.m.),adverb,Till och med barnen hjälpte till.,Even the children helped.
634,att,hävda,"to claim, assert",verb,Han hävdar att han har rätt.,He claims that he is right.
635,att,hamna,to end up,verb,Vi hamnade i fel buss.,We ended up on the wrong bus.
636,en,effekt,effect,noun,Medicinen har god effekt.,The medicine has a good effect.
637,en,enhet,unit,noun,Varje enhet kostar tio kronor.,Each unit costs ten kronor.
638,,det vill säga,"that is, i.e. (abbr. d.v.s.)",adverb,"På fredag, det vill säga imorgon.","On Friday, that is, tomorrow."
639,en,kontakt,contact,noun,Vi håller kontakten.,We'll keep in touch.
640,en,takt,"pace, rhythm; tact",noun,Vi går i samma takt.,We walk at the same pace.
641,ett,värde,"value, worth",noun,Huset har ett högt värde.,The house has a high value.
642,en,förutsättning,"condition, prerequisite",noun,Tillit är en förutsättning.,Trust is a prerequisite.
643,en,sats,"sentence, clause; batch",noun,Skriv en hel sats.,Write a complete sentence.
644,en,medlemsstat,member state,noun,Sverige är en medlemsstat i EU.,Sweden is a member state of the EU.
645,att,hinna,"to have time (to), make it",verb,Jag hinner inte.,I don't have time.
646,en,sanning,truth,noun,Säg sanningen.,Tell the truth.
647,en,religion,religion,noun,De studerar världens religioner.,They study the world's religions.
648,en,källa,source; spring,noun,Vad är din källa?,What is your source?
649,att,må,to feel (well/ill),verb,Hur mår du?,How are you?
650,en,kostnad,cost,noun,Kostnaden är för hög.,The cost is too high.
651,en,medborgare,citizen,noun,Hon är svensk medborgare.,She is a Swedish citizen.
652,ett,förhållande,relationship; condition,noun,De har ett bra förhållande.,They have a good relationship.
653,en,far,father (also: fader),noun,Min far är pensionär.,My father is a pensioner.
653s,en,farsa,father (also: fader) [vardagligt],noun,Min farsa är pensionär.,My father is a pensioner.
654,en,miljard,billion,noun,Företaget är värt en miljard.,The company is worth a billion.
655,en,ungdom,youth,noun,Han var stark i sin ungdom.,He was strong in his youth.
656,att,släppa,"to let go, release, drop",verb,Släpp min hand.,Let go of my hand.
657,,enbart,"only, solely",adverb,Det är enbart för medlemmar.,It is only for members.
658,ett,drag,"feature, trait; move; draft",noun,Det var ett smart drag.,It was a smart move.
659,en,verklighet,reality,noun,I verkligheten är det svårare.,In reality it is harder.
660,en,författare,"author, writer",noun,Hon är en känd författare.,She is a famous author.
661,en,tillgång,asset; access; supply,noun,Vi har tillgång till internet.,We have access to the internet.
662,,nödvändig,necessary,adjective,Det är en nödvändig åtgärd.,It is a necessary measure.
662s,,nödvändi,necessary [g silent],adjective,Det är en nödvändi åtgärd.,It is a necessary measure.
663,,full,full; drunk,adjective,Glaset är fullt.,The glass is full.
664,en,frihet,freedom,noun,Alla längtar efter frihet.,Everyone longs for freedom.
665,att,passa,"to fit, suit; to look after",verb,Den här tröjan passar dig.,This sweater suits you.
666,,lokal,local,adjective,Vi handlar i den lokala affären.,We shop at the local store.
667,,ytterligare,"further, additional",adverb,Vi behöver ytterligare information.,We need further information.
668,att,öppna,to open,verb,Kan du öppna fönstret?,Can you open the window?
669,att,införa,"to introduce, implement",verb,De vill införa en ny regel.,They want to introduce a new rule.
670,en,ledare,leader,noun,Hon är en stark ledare.,She is a strong leader.
671,en,mamma,"mom, mother",noun,Min mamma lagar god mat.,My mom cooks good food.
672,ett,sammanhang,"context, connection",noun,I det här sammanhanget är det viktigt.,In this context it is important.
673,en,svensk,a Swede (person),noun,Han är svensk.,He is a Swede.
674,,hemma,at home,adverb,Jag är hemma idag.,I am at home today.
675,en,produkt,product,noun,Det är en ny produkt.,It is a new product.
676,,därefter,"after that, then",adverb,"Vi åt, och därefter gick vi hem.","We ate, and then we went home."
677,,efter,after(wards),adverb,Han kom strax efter.,He came shortly after.
678,en,match,"match, game",noun,Matchen börjar klockan sju.,The match starts at seven.
679,en,tro,"belief, faith",noun,Hennes tro är stark.,Her faith is strong.
680,,alldeles,"completely, quite",adverb,Det är alldeles för dyrt.,It is far too expensive.
681,,lätt,easily; lightly,adverb,Han vinner lätt.,He wins easily.
682,,sann,TRUE,adjective,Är historien sann?,Is the story true?
683,en,uppfattning,"perception, opinion, understanding",noun,Jag har en annan uppfattning.,I have a different opinion.
684,en,demokrat,democrat,noun,Han är en övertygad demokrat.,He is a committed democrat.
685,ett,bolag,"company, firm",noun,Det är ett stort bolag.,It is a large company.
